Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	EC number
Q9Y6E0	reviewed	STK24_HUMAN	Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]	STK24 MST3 STK3	Homo sapiens (Human)	443	STK24	2.7.11.1
Q9Y6E7	reviewed	SIR4_HUMAN	NAD-dependent protein lipoamidase sirtuin-4, mitochondrial (EC 2.3.1.-) (NAD-dependent ADP-ribosyltransferase sirtuin-4) (EC 2.4.2.-) (NAD-dependent protein biotinylase sirtuin-4) (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-4) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 4) (SIR2-like protein 4)	SIRT4 SIR2L4	Homo sapiens (Human)	314	SIRT4	2.3.1.-; 2.3.1.286; 2.4.2.-
Q9Y6F1	reviewed	PARP3_HUMAN	Protein mono-ADP-ribosyltransferase PARP3 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 3) (ARTD3) (DNA ADP-ribosyltransferase PARP3) (EC 2.4.2.-) (IRT1) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly [ADP-ribose] polymerase 3) (PARP-3) (hPARP-3) (Poly[ADP-ribose] synthase 3) (pADPRT-3)	PARP3 ADPRT3 ADPRTL3	Homo sapiens (Human)	533	PARP3	2.4.2.-
Q9Y6F8	reviewed	CDY1_HUMAN	Testis-specific chromodomain protein Y 1 (EC 2.3.1.48)	CDY1 CDY1A; CDY1B	Homo sapiens (Human)	540	CDY1; CDY1B	2.3.1.48
Q9Y6H3	reviewed	ATP23_HUMAN	Mitochondrial inner membrane protease ATP23 homolog (EC 3.4.24.-) (Ku70-binding protein 3) (XRCC6-binding protein 1)	ATP23 KUB3 XRCC6BP1	Homo sapiens (Human)	246	ATP23	3.4.24.-
Q9Y6I4	reviewed	UBP3_HUMAN	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3)	USP3	Homo sapiens (Human)	520	USP3	3.4.19.12
Q9Y6K0	reviewed	CEPT1_HUMAN	Choline/ethanolaminephosphotransferase 1 (hCEPT1) (EC 2.7.8.1) (EC 2.7.8.2) (1-alkenyl-2-acylglycerol choline phosphotransferase) (EC 2.7.8.22)	CEPT1 PRO1101	Homo sapiens (Human)	416	CEPT1	2.7.8.1; 2.7.8.2; 2.7.8.22
Q9Y6K1	reviewed	DNM3A_HUMAN	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)	DNMT3A	Homo sapiens (Human)	912	DNMT3A	2.1.1.-; 2.1.1.37
Q9Y6K5	reviewed	OAS3_HUMAN	2'-5'-oligoadenylate synthase 3 ((2-5')oligo(A) synthase 3) (2-5A synthase 3) (EC 2.7.7.84) (p100 OAS) (p100OAS)	OAS3 P/OKcl.4	Homo sapiens (Human)	1087	OAS3	2.7.7.84
Q9Y6K8	reviewed	KAD5_HUMAN	Adenylate kinase isoenzyme 5 (AK 5) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 5)	AK5	Homo sapiens (Human)	562	AK5	2.7.4.3; 2.7.4.6
Q9Y6L7	reviewed	TLL2_HUMAN	Tolloid-like protein 2 (EC 3.4.24.-)	TLL2 KIAA0932	Homo sapiens (Human)	1015	TLL2	3.4.24.-
Q9Y6M0	reviewed	TEST_HUMAN	Testisin (EC 3.4.21.-) (Eosinophil serine protease 1) (ESP-1) (Serine protease 21)	PRSS21 ESP1 TEST1 UNQ266/PRO303	Homo sapiens (Human)	314	PRSS21	3.4.21.-
Q9Y6M4	reviewed	KC1G3_HUMAN	Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)	CSNK1G3	Homo sapiens (Human)	447	CSNK1G3	2.7.11.1
Q9Y6N5	reviewed	SQOR_HUMAN	Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.8) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)	SQOR SQRDL CGI-44	Homo sapiens (Human)	450	SQOR	1.8.5.8
Q9Y6P5	reviewed	SESN1_HUMAN	Sestrin-1 (EC 1.11.1.-) (p53-regulated protein PA26)	SESN1 PA26 SEST1	Homo sapiens (Human)	492	SESN1	1.11.1.-
Q9Y6Q9	reviewed	NCOA3_HUMAN	Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (ACTR) (Amplified in breast cancer 1 protein) (AIB-1) (CBP-interacting protein) (pCIP) (Class E basic helix-loop-helix protein 42) (bHLHe42) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (TRAM-1)	NCOA3 AIB1 BHLHE42 RAC3 TRAM1	Homo sapiens (Human)	1424	NCOA3	2.3.1.48
Q9Y6R4	reviewed	M3K4_HUMAN	Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1	Homo sapiens (Human)	1608	MAP3K4	2.7.11.25
Q9Y6T7	reviewed	DGKB_HUMAN	Diacylglycerol kinase beta (DAG kinase beta) (EC 2.7.1.107) (90 kDa diacylglycerol kinase) (Diglyceride kinase beta) (DGK-beta)	DGKB DAGK2 KIAA0718	Homo sapiens (Human)	804	DGKB	2.7.1.107
Q9Y6V7	reviewed	DDX49_HUMAN	Probable ATP-dependent RNA helicase DDX49 (EC 3.6.4.13) (DEAD box protein 49)	DDX49	Homo sapiens (Human)	483	DDX49	3.6.4.13
Q9Y6W3	reviewed	CAN7_HUMAN	Calpain-7 (EC 3.4.22.-) (PalB homolog) (PalBH)	CAPN7 PALBH	Homo sapiens (Human)	813	CAPN7	3.4.22.-
Q9Y6W6	reviewed	DUS10_HUMAN	Dual specificity protein phosphatase 10 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 5) (MAP kinase phosphatase 5) (MKP-5)	DUSP10 MKP5	Homo sapiens (Human)	482	DUSP10	3.1.3.16; 3.1.3.48
Q9Y6X2	reviewed	PIAS3_HUMAN	E3 SUMO-protein ligase PIAS3 (EC 2.3.2.-) (E3 SUMO-protein transferase PIAS3) (Protein inhibitor of activated STAT protein 3)	PIAS3	Homo sapiens (Human)	628	PIAS3	2.3.2.-
Q9Y6X5	reviewed	ENPP4_HUMAN	Bis(5'-adenosyl)-triphosphatase ENPP4 (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4) (E-NPP 4) (NPP-4)	ENPP4 KIAA0879 NPP4	Homo sapiens (Human)	453	ENPP4	3.6.1.29
Q9Y6X9	reviewed	MORC2_HUMAN	ATPase MORC2 (EC 3.6.1.-) (MORC family CW-type zinc finger protein 2) (Zinc finger CW-type coiled-coil domain protein 1)	MORC2 KIAA0852 ZCWCC1	Homo sapiens (Human)	1032	MORC2	3.6.1.-
A0A024RBG1	reviewed	NUD4B_HUMAN	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B)	NUDT4B	Homo sapiens (Human)	181	NUDT4B	3.6.1.52
A0PJZ3	reviewed	GXLT2_HUMAN	Glucoside xylosyltransferase 2 (EC 2.4.2.42) (Glycosyltransferase 8 domain-containing protein 4)	GXYLT2 GLT8D4	Homo sapiens (Human)	443	GXYLT2	2.4.2.42
A2A3K4	reviewed	PTPC1_HUMAN	Protein tyrosine phosphatase domain-containing protein 1 (EC 3.1.3.-)	PTPDC1 PTP9Q22	Homo sapiens (Human)	754	PTPDC1	3.1.3.-
A2VDF0	reviewed	FUCM_HUMAN	Fucose mutarotase (EC 5.1.3.29)	FUOM C10orf125	Homo sapiens (Human)	154	FUOM	5.1.3.29
A4D1S5	reviewed	RAB19_HUMAN	Ras-related protein Rab-19 (EC 3.6.5.2)	RAB19 RAB19B	Homo sapiens (Human)	217	RAB19	3.6.5.2
A6NCW0	reviewed	U17L3_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 3) (Ubiquitin thioesterase 17-like protein 3) (Ubiquitin-specific-processing protease 17-like protein 3)	USP17L3 USP17B USP17F	Homo sapiens (Human)	530	USP17L3	3.4.19.12
A6NHC0	reviewed	CAN8_HUMAN	Calpain-8 (EC 3.4.22.53) (New calpain 2) (nCL-2) (Stomach-specific M-type calpain)	CAPN8 NCL2	Homo sapiens (Human)	703	CAPN8	3.4.22.53
A6NMB9	reviewed	FIGL2_HUMAN	Fidgetin-like protein 2 (EC 3.6.4.-)	FIGNL2	Homo sapiens (Human)	653	FIGNL2	3.6.4.-
A6NNE9	reviewed	MARHB_HUMAN	E3 ubiquitin-protein ligase MARCHF11 (EC 2.3.2.27) (Membrane-associated RING finger protein 11) (Membrane-associated RING-CH protein XI) (MARCH-XI) (RING-type E3 ubiquitin transferase MARCHF11)	MARCHF11 MARCH11	Homo sapiens (Human)	402	MARCHF11	2.3.2.27
A6NNS2	reviewed	DRS7C_HUMAN	Dehydrogenase/reductase SDR family member 7C (EC 1.1.1.105) (Sarcoplasmic reticulum protein of 35 kDa) (Protein SRP-35) (Short-chain dehydrogenase/reductase family 32C member 2) (Protein SDR32C2)	DHRS7C SDR32C2	Homo sapiens (Human)	312	DHRS7C	1.1.1.105
A6NNW6	reviewed	ENO4_HUMAN	Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase)	ENO4 C10orf134	Homo sapiens (Human)	625	ENO4	4.2.1.11
A8K979	reviewed	ERI2_HUMAN	ERI1 exoribonuclease 2 (EC 3.1.-.-) (Exonuclease domain-containing protein 1)	ERI2 EXOD1 KIAA1504	Homo sapiens (Human)	691	ERI2	3.1.-.-
A8MPP1	reviewed	D11L8_HUMAN	Putative ATP-dependent DNA helicase DDX11-like protein 8 (EC 5.6.2.-) (DEAD/H box protein 11-like 8)	DDX11L8	Homo sapiens (Human)	907	DDX11L8	5.6.2.-
A8MTL3	reviewed	R212B_HUMAN	E3 ubiquitin-protein ligase RNF212B (EC 2.3.2.27) (RING finger protein 212B)	RNF212B C14orf164	Homo sapiens (Human)	300	RNF212B	2.3.2.27
A8MUK1	reviewed	U17L5_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 5 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 5) (Ubiquitin thioesterase 17-like protein 5) (Ubiquitin-specific-processing protease 17-like protein 5)	USP17L5	Homo sapiens (Human)	530	USP17L5	3.4.19.12
O14841	reviewed	OPLA_HUMAN	5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)	OPLAH	Homo sapiens (Human)	1288	OPLAH	3.5.2.9
O43414	reviewed	ERI3_HUMAN	ERI1 exoribonuclease 3 (EC 3.1.-.-) (Prion interactor 1) (Prion protein-interacting protein)	ERI3 PINT1 PRNPIP PRNPIP1	Homo sapiens (Human)	337	ERI3	3.1.-.-
O43930	reviewed	PRKY_HUMAN	Putative serine/threonine-protein kinase PRKY (EC 2.7.11.1)	PRKY	Homo sapiens (Human)	277	PRKY	2.7.11.1
O60361	reviewed	NDK8_HUMAN	Putative nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6)	NME2P1	Homo sapiens (Human)	137	NME2P1	2.7.4.6
O60774	reviewed	FMO6_HUMAN	Putative dimethylaniline monooxygenase [N-oxide-forming] 6 (EC 1.14.13.8) (Dimethylaniline oxidase 6) (Flavin-containing monooxygenase 6) (FMO 6)	FMO6P FMO6	Homo sapiens (Human)	539	FMO6P	1.14.13.8
O75310	reviewed	UDB11_HUMAN	UDP-glucuronosyltransferase 2B11 (UDPGT 2B11) (EC 2.4.1.17)	UGT2B11	Homo sapiens (Human)	529	UGT2B11	2.4.1.17
O75715	reviewed	GPX5_HUMAN	Epididymal secretory glutathione peroxidase (EC 1.11.1.9) (Epididymis-specific glutathione peroxidase-like protein) (EGLP) (Glutathione peroxidase 5) (GPx-5) (GSHPx-5)	GPX5	Homo sapiens (Human)	221	GPX5	1.11.1.9
O95084	reviewed	PRS23_HUMAN	Serine protease 23 (EC 3.4.21.-) (Putative secreted protein Zsig13)	PRSS23 ZSIG13 UNQ270/PRO307	Homo sapiens (Human)	383	PRSS23	3.4.21.-
O95336	reviewed	6PGL_HUMAN	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	PGLS	Homo sapiens (Human)	258	PGLS	3.1.1.31
O95455	reviewed	TGDS_HUMAN	dTDP-D-glucose 4,6-dehydratase (EC 4.2.1.46)	TGDS	Homo sapiens (Human)	350	TGDS	4.2.1.46
O95620	reviewed	DUS4L_HUMAN	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like (EC 1.3.1.90) (pp35) (tRNA-dihydrouridine synthase 4-like)	DUS4L	Homo sapiens (Human)	317	DUS4L	1.3.1.90
O95755	reviewed	RAB36_HUMAN	Ras-related protein Rab-36 (EC 3.6.5.2)	RAB36	Homo sapiens (Human)	267	RAB36	3.6.5.2
P07311	reviewed	ACYP1_HUMAN	Acylphosphatase-1 (EC 3.6.1.7) (Acylphosphatase, erythrocyte isozyme) (Acylphosphatase, organ-common type isozyme) (Acylphosphate phosphohydrolase 1)	ACYP1 ACYPE	Homo sapiens (Human)	99	ACYP1	3.6.1.7
P09093	reviewed	CEL3A_HUMAN	Chymotrypsin-like elastase family member 3A (EC 3.4.21.70) (Elastase IIIA) (Elastase-3A) (Protease E)	CELA3A ELA3 ELA3A	Homo sapiens (Human)	270	CELA3A	3.4.21.70
P0C7M7	reviewed	ACSM4_HUMAN	Acyl-coenzyme A synthetase ACSM4, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 4)	ACSM4	Homo sapiens (Human)	580	ACSM4	6.2.1.2
P0C7U3	reviewed	ZH11B_HUMAN	Probable palmitoyltransferase ZDHHC11B (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 11B) (DHHC-11B)	ZDHHC11B	Homo sapiens (Human)	371	ZDHHC11B	2.3.1.225
P0CG29	reviewed	GST2_HUMAN	Glutathione S-transferase theta-2 (EC 2.5.1.18) (GST class-theta-2)	GSTT2	Homo sapiens (Human)	244	GSTT2	2.5.1.18
P10266	reviewed	POK10_HUMAN	Endogenous retrovirus group K member 10 Pol protein (HERV-K10 Pol protein) (HERV-K107 Pol protein) (HERV-K_5q33.3 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]	ERVK-10	Homo sapiens (Human)	1014	ERVK-10	2.7.7.49; 3.1.26.4
P14621	reviewed	ACYP2_HUMAN	Acylphosphatase-2 (EC 3.6.1.7) (Acylphosphatase, muscle type isozyme) (Acylphosphate phosphohydrolase 2)	ACYP2 ACYP	Homo sapiens (Human)	99	ACYP2	3.6.1.7
P15088	reviewed	CBPA3_HUMAN	Mast cell carboxypeptidase A (MC-CPA) (EC 3.4.17.1) (Carboxypeptidase A3)	CPA3	Homo sapiens (Human)	417	CPA3	3.4.17.1
P17538	reviewed	CTRB1_HUMAN	Chymotrypsinogen B (EC 3.4.21.1) [Cleaved into: Chymotrypsin B chain A; Chymotrypsin B chain B; Chymotrypsin B chain C]	CTRB1 CTRB	Homo sapiens (Human)	263	CTRB1	3.4.21.1
P19961	reviewed	AMY2B_HUMAN	Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)	AMY2B	Homo sapiens (Human)	511	AMY2B	3.2.1.1
P36537	reviewed	UDB10_HUMAN	UDP-glucuronosyltransferase 2B10 (UDPGT 2B10) (EC 2.4.1.17)	UGT2B10	Homo sapiens (Human)	528	UGT2B10	2.4.1.17
P40313	reviewed	CTRL_HUMAN	Chymotrypsin-like protease CTRL-1 (EC 3.4.21.-)	CTRL CTRL1	Homo sapiens (Human)	264	CTRL	3.4.21.-
P42357	reviewed	HUTH_HUMAN	Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)	HAL HIS	Homo sapiens (Human)	657	HAL	4.3.1.3
P49441	reviewed	INPP_HUMAN	Inositol polyphosphate 1-phosphatase (IPP) (IPPase) (EC 3.1.3.57)	INPP1	Homo sapiens (Human)	399	INPP1	3.1.3.57
P51689	reviewed	ARSD_HUMAN	Arylsulfatase D (ASD) (EC 3.1.6.-)	ARSD	Homo sapiens (Human)	593	ARSD	3.1.6.-
P54793	reviewed	ARSF_HUMAN	Arylsulfatase F (ASF) (EC 3.1.6.1)	ARSF	Homo sapiens (Human)	590	ARSF	3.1.6.1
P57058	reviewed	HUNK_HUMAN	Hormonally up-regulated neu tumor-associated kinase (EC 2.7.11.1) (B19) (Serine/threonine-protein kinase MAK-V)	HUNK MAKV	Homo sapiens (Human)	714	HUNK	2.7.11.1
P58557	reviewed	YBEY_HUMAN	Endoribonuclease YbeY (EC 3.1.-.-)	YBEY C21orf57	Homo sapiens (Human)	167	YBEY	3.1.-.-
P58872	reviewed	RHBL3_HUMAN	Rhomboid-related protein 3 (EC 3.4.21.105) (Ventrhoid transmembrane protein)	RHBDL3 RHBDL4 VRHO	Homo sapiens (Human)	404	RHBDL3	3.4.21.105
P59796	reviewed	GPX6_HUMAN	Glutathione peroxidase 6 (GPx-6) (GSHPx-6) (EC 1.11.1.9)	GPX6	Homo sapiens (Human)	221	GPX6	1.11.1.9
P63122	reviewed	VPK8_HUMAN	Endogenous retrovirus group K member 8 Pro protein (HERV-K115 Pro protein) (HERV-K_8p23.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-8	Homo sapiens (Human)	156	ERVK-8	3.4.23.50
P63123	reviewed	VPK18_HUMAN	Endogenous retrovirus group K member 18 Pro protein (HERV-K(C1a) Pro protein) (HERV-K110 Pro protein) (HERV-K18 Pro protein) (HERV-K_1q23.3 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-18	Homo sapiens (Human)	156	ERVK-18	3.4.23.50
P63129	reviewed	VPK24_HUMAN	Endogenous retrovirus group K member 24 Pro protein (HERV-K101 envelope protein) (HERV-K_22q11.21 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-24	Homo sapiens (Human)	156	ERVK-24	3.4.23.50
P63131	reviewed	VPK7_HUMAN	Endogenous retrovirus group K member 7 Pro protein (HERV-K(III) Pro protein) (HERV-K102 Pro protein) (HERV-K_1q22 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-7	Homo sapiens (Human)	156	ERVK-7	3.4.23.50
P63132	reviewed	PO113_HUMAN	Endogenous retrovirus group K member 113 Pol protein (HERV-K113 Pol protein) (HERV-K_19p13.11 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]	HERVK_113	Homo sapiens (Human)	959	HERVK_113	2.7.7.49; 3.1.26.4
P63133	reviewed	POK8_HUMAN	Endogenous retrovirus group K member 8 Pol protein (HERV-K115 Pol protein) (HERV-K_8p23.1 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]	ERVK-8	Homo sapiens (Human)	956	ERVK-8	2.7.7.49; 3.1.26.4
P63135	reviewed	POK7_HUMAN	Endogenous retrovirus group K member 7 Pol protein (HERV-K(III) Pol protein) (HERV-K102 Pol protein) (HERV-K_1q22 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]	ERVK-7	Homo sapiens (Human)	1459	ERVK-7	2.7.7.49; 3.1.26.4
P63136	reviewed	POK25_HUMAN	Endogenous retrovirus group K member 25 Pol protein (HERV-K_11q22.1 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]	ERVK-25	Homo sapiens (Human)	954	ERVK-25	2.7.7.49; 3.1.26.4
Q01459	reviewed	DIAC_HUMAN	Di-N-acetylchitobiase (EC 3.2.1.-)	CTBS CTB	Homo sapiens (Human)	385	CTBS	3.2.1.-
Q02338	reviewed	BDH_HUMAN	D-beta-hydroxybutyrate dehydrogenase, mitochondrial (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (BDH) (Short chain dehydrogenase/reductase family 9C member 1)	BDH1 BDH SDR9C1	Homo sapiens (Human)	343	BDH1	1.1.1.30
Q05D32	reviewed	CTSL2_HUMAN	CTD small phosphatase-like protein 2 (CTDSP-like 2) (EC 3.1.3.-)	CTDSPL2 HSPC058 HSPC129	Homo sapiens (Human)	466	CTDSPL2	3.1.3.-
Q13434	reviewed	MKRN4_HUMAN	Putative E3 ubiquitin-protein ligase makorin-4 (EC 2.3.2.27) (Makorin RING finger protein pseudogene 4) (Makorin RING finger protein pseudogene 5) (RING finger protein 64) (RING-type E3 ubiquitin transferase makorin-4) (Zinc finger protein 127-Xp) (ZNF127-Xp) (Zinc finger protein 127-like 1)	MKRN4P MKRN4 MKRNP5 RNF64 ZNF127L1	Homo sapiens (Human)	485	MKRN4P	2.3.2.27
Q14409	reviewed	GLPK3_HUMAN	Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)	GK3 GK3P GKP3 GKTB	Homo sapiens (Human)	553	GK3	2.7.1.30
Q15181	reviewed	IPYR_HUMAN	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	PPA1 IOPPP PP	Homo sapiens (Human)	289	PPA1	3.6.1.1
Q17RR3	reviewed	LIPR3_HUMAN	Pancreatic lipase-related protein 3 (PL-RP3) (EC 3.1.1.3)	PNLIPRP3	Homo sapiens (Human)	467	PNLIPRP3	3.1.1.3
Q2L4Q9	reviewed	PRS53_HUMAN	Serine protease 53 (EC 3.4.21.-) (Polyserine protease 3) (Polyserase-3)	PRSS53	Homo sapiens (Human)	553	PRSS53	3.4.21.-
Q2M2H8	reviewed	MGAL_HUMAN	Probable maltase-glucoamylase 2 (Maltase-glucoamylase (alpha-glucosidase) pseudogene) [Includes: Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]	MGAM2	Homo sapiens (Human)	2515	MGAM2	3.2.1.3
Q2PZI1	reviewed	D19L1_HUMAN	Protein C-mannosyl-transferase DPY19L1 (EC 2.4.1.-) (Dpy-19-like protein 1) (Protein dpy-19 homolog 1)	DPY19L1 GA0500 KIAA0877	Homo sapiens (Human)	675	DPY19L1	2.4.1.-
Q2VIR3	reviewed	IF2GL_HUMAN	Eukaryotic translation initiation factor 2 subunit 3B (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma A) (eIF-2-gamma A) (eIF-2gA)	EIF2S3B	Homo sapiens (Human)	472	EIF2S3B	3.6.5.3
Q3I5F7	reviewed	ACOT6_HUMAN	Acyl-coenzyme A thioesterase 6 (Acyl-CoA thioesterase 6) (EC 3.1.2.-)	ACOT6 C14orf42	Homo sapiens (Human)	421	ACOT6	3.1.2.-
Q3KNT7	reviewed	NSN5B_HUMAN	Putative NOL1/NOP2/Sun domain family member 5B (EC 2.1.1.-) (Williams-Beuren syndrome chromosomal region 20B protein)	NSUN5P1 NSUN5B WBSCR20B	Homo sapiens (Human)	163	NSUN5P1	2.1.1.-
Q3SY77	reviewed	UD3A2_HUMAN	UDP-glucuronosyltransferase 3A2 (UDPGT 3A2) (EC 2.4.1.17)	UGT3A2 PSEC0073 UNQ842/PRO1780	Homo sapiens (Human)	523	UGT3A2	2.4.1.17
Q4G0A6	reviewed	MINY4_HUMAN	Probable ubiquitin carboxyl-terminal hydrolase MINDY-4 (EC 3.4.19.12) (Probable deubiquitinating enzyme MINDY-4)	MINDY4 C7orf67 FAM188B	Homo sapiens (Human)	757	MINDY4	3.4.19.12
Q4G148	reviewed	GXLT1_HUMAN	Glucoside xylosyltransferase 1 (EC 2.4.2.42) (Glycosyltransferase 8 domain-containing protein 3)	GXYLT1 GLT8D3	Homo sapiens (Human)	440	GXYLT1	2.4.2.42
Q4V339	reviewed	ZNG1F_HUMAN	Zinc-regulated GTPase metalloprotein activator 1F (EC 3.6.5.-) (Cobalamin synthase W domain-containing protein 6) (COBW domain-containing protein 6)	ZNG1F CBWD6 CBWD7	Homo sapiens (Human)	395	ZNG1F	3.6.5.-
Q4VNC0	reviewed	AT135_HUMAN	Probable cation-transporting ATPase 13A5 (EC 7.2.2.-) (P5-ATPase isoform 5)	ATP13A5 UNQ488/PRO1004	Homo sapiens (Human)	1218	ATP13A5	7.2.2.-
Q52WX2	reviewed	SBK1_HUMAN	Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3 domain-binding kinase 1)	SBK1	Homo sapiens (Human)	424	SBK1	2.7.11.1
Q53S08	reviewed	RAB6D_HUMAN	Ras-related protein Rab-6D (EC 3.6.5.2) (Rab6-like protein WTH3DI)	RAB6D WTH3DI	Homo sapiens (Human)	254	RAB6D	3.6.5.2
Q587J7	reviewed	TDR12_HUMAN	Putative ATP-dependent RNA helicase TDRD12 (EC 3.6.4.13) (ES cell-associated transcript 8 protein) (Tudor domain-containing protein 12)	TDRD12 ECAT8	Homo sapiens (Human)	1177	TDRD12	3.6.4.13
Q5BKT4	reviewed	AG10A_HUMAN	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-A) (Asparagine-linked glycosylation protein 10 homolog A)	ALG10 ALG10A	Homo sapiens (Human)	473	ALG10	2.4.1.256
Q5FYB0	reviewed	ARSJ_HUMAN	Arylsulfatase J (ASJ) (EC 3.1.6.-)	ARSJ UNQ372/PRO708	Homo sapiens (Human)	599	ARSJ	3.1.6.-
Q5H9U9	reviewed	DDX6L_HUMAN	Probable ATP-dependent RNA helicase DDX60-like (EC 3.6.4.13) (DEAD box protein 60-like)	DDX60L	Homo sapiens (Human)	1706	DDX60L	3.6.4.13
Q5HYJ1	reviewed	TECRL_HUMAN	Trans-2,3-enoyl-CoA reductase-like (EC 1.3.1.-) (Steroid 5-alpha-reductase 2-like 2 protein)	TECRL SRD5A2L2	Homo sapiens (Human)	363	TECRL	1.3.1.-
Q5HYM0	reviewed	ZC12B_HUMAN	Probable ribonuclease ZC3H12B (EC 3.1.-.-) (MCP-induced protein 2) (Zinc finger CCCH domain-containing protein 12B)	ZC3H12B CXorf32 MCPIP2	Homo sapiens (Human)	836	ZC3H12B	3.1.-.-
